period,period_start,period_end,regime,z_lo,z_hi,z_mid,p_up,n
1,2001-08-03,2009-11-19,-2,-2.0,-1.8,-1.9,0.375,32
1,2001-08-03,2009-11-19,-2,-1.8,-1.6,-1.7,0.595,42
1,2001-08-03,2009-11-19,-2,-1.6,-1.4,-1.5,0.641,39
1,2001-08-03,2009-11-19,-2,-1.4,-1.2,-1.3,0.784,51
1,2001-08-03,2009-11-19,-2,-1.2,-1.0,-1.1,0.757,74
1,2001-08-03,2009-11-19,-1,-1.0,-0.8,-0.9,0.392,74
1,2001-08-03,2009-11-19,-1,-0.8,-0.6,-0.7,0.491,114
1,2001-08-03,2009-11-19,-1,-0.6,-0.4,-0.5,0.51,98
1,2001-08-03,2009-11-19,-1,-0.4,-0.2,-0.3,0.608,120
1,2001-08-03,2009-11-19,-1,-0.2,0.0,-0.1,0.773,141
1,2001-08-03,2009-11-19,1,0.0,0.2,0.1,0.243,148
1,2001-08-03,2009-11-19,1,0.2,0.4,0.3,0.321,168
1,2001-08-03,2009-11-19,1,0.4,0.6,0.5,0.35,206
1,2001-08-03,2009-11-19,1,0.6,0.8,0.7,0.482,197
1,2001-08-03,2009-11-19,1,0.8,1.0,0.9,0.591,154
1,2001-08-03,2009-11-19,2,1.0,1.2,1.1,0.008,133
1,2001-08-03,2009-11-19,2,1.2,1.4,1.3,0.044,90
1,2001-08-03,2009-11-19,2,1.4,1.6,1.5,0.133,45
1,2001-08-03,2009-11-19,2,1.6,1.8,1.7,0.286,28
1,2001-08-03,2009-11-19,2,1.8,2.0,1.9,0.333,9
2,2009-11-20,2018-03-08,-2,-2.0,-1.8,-1.9,0.476,21
2,2009-11-20,2018-03-08,-2,-1.8,-1.6,-1.7,0.72,25
2,2009-11-20,2018-03-08,-2,-1.6,-1.4,-1.5,0.585,41
2,2009-11-20,2018-03-08,-2,-1.4,-1.2,-1.3,0.9,30
2,2009-11-20,2018-03-08,-2,-1.2,-1.0,-1.1,0.939,49
2,2009-11-20,2018-03-08,-1,-1.0,-0.8,-0.9,0.424,66
2,2009-11-20,2018-03-08,-1,-0.8,-0.6,-0.7,0.544,68
2,2009-11-20,2018-03-08,-1,-0.6,-0.4,-0.5,0.691,94
2,2009-11-20,2018-03-08,-1,-0.4,-0.2,-0.3,0.775,120
2,2009-11-20,2018-03-08,-1,-0.2,0.0,-0.1,0.879,132
2,2009-11-20,2018-03-08,1,0.0,0.2,0.1,0.138,167
2,2009-11-20,2018-03-08,1,0.2,0.4,0.3,0.205,190
2,2009-11-20,2018-03-08,1,0.4,0.6,0.5,0.286,210
2,2009-11-20,2018-03-08,1,0.6,0.8,0.7,0.409,235
2,2009-11-20,2018-03-08,1,0.8,1.0,0.9,0.523,172
2,2009-11-20,2018-03-08,2,1.0,1.2,1.1,0.045,154
2,2009-11-20,2018-03-08,2,1.2,1.4,1.3,0.141,92
2,2009-11-20,2018-03-08,2,1.4,1.6,1.5,0.161,62
2,2009-11-20,2018-03-08,2,1.6,1.8,1.7,0.333,36
2,2009-11-20,2018-03-08,2,1.8,2.0,1.9,0.571,21
3,2018-03-09,2026-06-29,-2,-2.0,-1.8,-1.9,0.538,26
3,2018-03-09,2026-06-29,-2,-1.8,-1.6,-1.7,0.552,29
3,2018-03-09,2026-06-29,-2,-1.6,-1.4,-1.5,0.808,26
3,2018-03-09,2026-06-29,-2,-1.4,-1.2,-1.3,0.829,41
3,2018-03-09,2026-06-29,-2,-1.2,-1.0,-1.1,0.962,52
3,2018-03-09,2026-06-29,-1,-1.0,-0.8,-0.9,0.362,58
3,2018-03-09,2026-06-29,-1,-0.8,-0.6,-0.7,0.459,74
3,2018-03-09,2026-06-29,-1,-0.6,-0.4,-0.5,0.479,73
3,2018-03-09,2026-06-29,-1,-0.4,-0.2,-0.3,0.644,101
3,2018-03-09,2026-06-29,-1,-0.2,0.0,-0.1,0.755,106
3,2018-03-09,2026-06-29,1,0.0,0.2,0.1,0.2,165
3,2018-03-09,2026-06-29,1,0.2,0.4,0.3,0.202,208
3,2018-03-09,2026-06-29,1,0.4,0.6,0.5,0.253,245
3,2018-03-09,2026-06-29,1,0.6,0.8,0.7,0.373,236
3,2018-03-09,2026-06-29,1,0.8,1.0,0.9,0.563,190
3,2018-03-09,2026-06-29,2,1.0,1.2,1.1,0.015,137
3,2018-03-09,2026-06-29,2,1.2,1.4,1.3,0.12,92
3,2018-03-09,2026-06-29,2,1.4,1.6,1.5,0.204,49
3,2018-03-09,2026-06-29,2,1.6,1.8,1.7,0.2,30
3,2018-03-09,2026-06-29,2,1.8,2.0,1.9,0.565,23
